INFO 2025-02-25 22:23:18,817 connection Connecting...
INFO 2025-02-25 22:23:18,817 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,949 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:18,949 session NetworkTask started
INFO 2025-02-25 22:23:19,263 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:19,264 session NetworkTask stopped
INFO 2025-02-25 22:23:19,264 connection Disconnected
INFO 2025-02-25 22:23:19,264 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,264 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,265 connection Disconnected
INFO 2025-02-25 22:23:19,265 session Session stopped
INFO 2025-02-25 22:23:19,265 connection Connecting...
INFO 2025-02-25 22:23:19,265 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,402 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:19,402 session NetworkTask started
INFO 2025-02-25 22:23:19,710 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:19,714 session NetworkTask stopped
INFO 2025-02-25 22:23:19,715 connection Disconnected
INFO 2025-02-25 22:23:19,715 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,715 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,716 connection Disconnected
INFO 2025-02-25 22:23:19,716 session Session stopped
INFO 2025-02-25 22:23:19,716 connection Connecting...
INFO 2025-02-25 22:23:19,716 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:19,842 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:19,842 session NetworkTask started
INFO 2025-02-25 22:23:20,166 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:20,168 session NetworkTask stopped
INFO 2025-02-25 22:23:20,168 connection Disconnected
INFO 2025-02-25 22:23:20,169 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,169 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,169 connection Disconnected
INFO 2025-02-25 22:23:20,169 session Session stopped
INFO 2025-02-25 22:23:20,170 connection Connecting...
INFO 2025-02-25 22:23:20,170 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,290 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:20,290 session NetworkTask started
INFO 2025-02-25 22:23:20,611 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:20,613 session NetworkTask stopped
INFO 2025-02-25 22:23:20,614 connection Disconnected
INFO 2025-02-25 22:23:20,614 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,614 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,614 connection Disconnected
INFO 2025-02-25 22:23:20,614 session Session stopped
INFO 2025-02-25 22:23:20,614 connection Connecting...
INFO 2025-02-25 22:23:20,614 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:20,743 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:20,744 session NetworkTask started
INFO 2025-02-25 22:23:22,270 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:22,270 session NetworkTask stopped
INFO 2025-02-25 22:23:22,270 connection Disconnected
INFO 2025-02-25 22:23:22,272 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:22,272 connection Disconnected
INFO 2025-02-25 22:23:22,272 session Session stopped
INFO 2025-02-25 22:23:22,272 connection Connecting...
INFO 2025-02-25 22:23:22,400 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:22,400 session NetworkTask started
INFO 2025-02-25 22:23:22,867 session Session initialized: Layer 158
INFO 2025-02-25 22:23:22,868 session Device: CPython 3.13.2 - Pyrogram 2.0.106
INFO 2025-02-25 22:23:22,868 session System: Windows 11 (en)
INFO 2025-02-25 22:23:22,868 session Session started
INFO 2025-02-25 22:23:22,868 session PingTask started
INFO 2025-02-25 22:24:56,611 autoreload Watching for file changes with StatReloader
WARNING 2025-02-25 22:24:57,017 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
WARNING 2025-02-25 22:25:14,163 log Forbidden (CSRF token from POST incorrect.): /login/
INFO 2025-02-25 22:25:28,314 connection Connecting...
INFO 2025-02-25 22:25:28,463 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:25:28,464 session NetworkTask started
INFO 2025-02-25 22:25:29,073 session Session initialized: Layer 158
INFO 2025-02-25 22:25:29,073 session Device: CPython 3.13.2 - Pyrogram 2.0.106
INFO 2025-02-25 22:25:29,074 session System: Windows 11 (en)
INFO 2025-02-25 22:25:29,074 session Session started
INFO 2025-02-25 22:25:29,076 session PingTask started
